id,ime,leto,odigrane minute,meti 3 točke,poskusi 3 točke,meti 2 točki,poskusi 2 točki,prosti meti,poskusi prostih metov,skoki v napadu,skoki v obrambi,asistence,ukradene žoge,blokade,izgubljene žoge,osebni prekrški
SAS,San Antonio Spurs,1988,19805,133,412,3573,7147,1769,2412,1184,2335,2344,739,468,1418,1991
LAL,Los Angeles Lakers,1988,19805,142,478,3434,6600,1956,2480,1073,2491,2347,672,404,1318,1715
SEA,Seattle SuperSonics,1988,19855,221,638,3323,6805,1826,2442,1313,2314,2146,775,447,1376,2380
DAL,Dallas Mavericks,1988,19755,154,526,3259,6665,1980,2510,1341,2495,1984,645,446,1257,1734
DET,Detroit Pistons,1988,19780,58,202,3403,6816,1977,2612,1181,2482,2011,588,394,1348,1957
HOU,Houston Rockets,1988,19680,69,291,3396,7063,1936,2483,1239,2530,1936,712,502,1367,1865
PHO,Phoenix Suns,1988,19730,118,357,3433,6945,1681,2200,1113,2379,2332,675,353,1413,2045
UTA,Utah Jazz,1988,19705,129,404,3355,6688,1802,2404,1066,2553,2407,771,627,1481,1986
SAC,Sacramento Kings,1988,19780,144,450,3314,6887,1795,2324,1232,2461,2116,582,493,1457,1895
ATL,Atlanta Hawks,1988,19780,85,282,3358,6820,1873,2441,1228,2379,2062,635,537,1225,2050
GSW,Golden State Warriors,1988,19780,91,312,3372,7092,1754,2204,1140,2252,2005,741,283,1395,2155
MIL,Milwaukee Bucks,1988,19780,133,410,3233,6669,1832,2364,1117,2335,2194,671,380,1275,1989
PHI,Philadelphia 76ers,1988,19905,152,471,3062,6314,2087,2731,1219,2307,1897,672,465,1433,1866
NYK,New York Knicks,1988,19805,179,567,3184,6665,1750,2306,1286,2194,2012,789,445,1518,2361
WSB,Washington Bullets,1988,19880,29,138,3326,7026,1914,2476,1229,2297,1875,698,502,1384,1922
CHI,Chicago Bulls,1988,19855,56,243,3378,6772,1685,2221,1170,2459,2149,712,475,1263,1849
IND,Indiana Pacers,1988,19705,163,485,3273,6669,1546,1982,1078,2457,1977,619,345,1318,2038
CLE,Cleveland Cavaliers,1988,19780,127,336,3186,6419,1813,2438,1015,2289,2070,733,526,1439,1836
NJN,New Jersey Nets,1988,19780,137,455,3071,6402,1682,2308,1075,2262,1795,727,385,1503,2042
LAC,Los Angeles Clippers,1988,19805,79,317,3111,6877,1644,2305,1191,2350,1885,721,520,1534,1908
PHO,Phoenix Suns,1989,19755,168,481,3586,7064,2051,2594,1095,2619,2280,693,416,1279,1933
DEN,Denver Nuggets,1989,19880,228,676,3585,7464,1821,2314,1206,2513,2282,811,436,1225,2088
NYK,New York Knicks,1989,19805,386,1147,3315,6464,1779,2366,1322,2265,2083,900,446,1572,2053
GSW,Golden State Warriors,1989,19905,194,629,3536,7348,1904,2384,1323,2561,2009,831,643,1488,1946
LAL,Los Angeles Lakers,1989,19805,227,667,3357,6476,2011,2508,1094,2612,2282,724,421,1344,1672
POR,Portland Trail Blazers,1989,19830,216,645,3479,7150,1789,2416,1384,2381,2212,828,388,1435,2026
SEA,Seattle SuperSonics,1989,19780,293,774,3271,6704,1775,2379,1397,2238,2083,864,494,1403,2027
PHI,Philadelphia 76ers,1989,19780,204,646,3296,6555,1970,2504,1143,2356,2110,689,354,1214,1721
ATL,Atlanta Hawks,1989,19805,110,397,3302,6833,2168,2709,1372,2316,1990,817,474,1310,1880
BOS,Boston Celtics,1989,19780,78,309,3442,6834,1840,2349,1179,2442,2189,639,418,1336,1876
MIL,Milwaukee Bucks,1989,19755,179,567,3220,6600,1955,2382,1133,2272,2071,821,323,1305,1953
CLE,Cleveland Cavaliers,1989,19755,170,474,3296,6430,1821,2438,1033,2475,2260,791,586,1323,1592
HOU,Houston Rockets,1989,19855,164,523,3248,6673,1909,2527,1211,2554,2016,789,501,1569,2026
WSB,Washington Bullets,1989,19855,52,243,3467,7348,1789,2318,1254,2354,2048,694,325,1291,2054
IND,Indiana Pacers,1989,19855,202,615,3183,6330,1795,2275,1065,2497,2012,563,418,1547,2105
DET,Detroit Pistons,1989,19830,120,400,3275,6479,1830,2379,1154,2546,2027,522,406,1336,1939
